# Step | Energy (eV) | Status
 821 |  -611.929853 | Accepted
 822 |  -611.932126 | Accepted
 823 |  -611.931455 | Accepted
 825 |  -611.931354 | Accepted
 826 |  -611.925328 | Accepted
 827 |  -611.920323 | Accepted
 828 |  -611.928271 | Accepted
 830 |  -611.924682 | Accepted
 831 |  -611.933585 | Accepted
 832 |  -611.928262 | Accepted
 833 |  -611.927590 | Accepted
 834 |  -611.926205 | Accepted
 835 |  -611.928162 | Accepted
 836 |  -611.929041 | Accepted
 837 |  -611.931511 | Accepted
 839 |  -611.932927 | Accepted
 840 |  -611.926721 | Accepted
 841 |  -611.930566 | Accepted
 842 |  -611.930263 | Accepted
 843 |  -611.931142 | Accepted
 844 |  -611.930751 | Accepted
 845 |  -611.930466 | Accepted
 846 |  -611.934878 | Accepted
 848 |  -611.927529 | Accepted
 849 |  -611.929349 | Accepted
 850 |  -611.930198 | Accepted
 851 |  -611.931451 | Accepted
 852 |  -611.931618 | Accepted
 853 |  -611.927694 | Accepted
 854 |  -611.928756 | Accepted
 855 |  -611.928059 | Accepted
 856 |  -611.926181 | Accepted
 857 |  -611.932644 | Accepted
 858 |  -611.932510 | Accepted
 859 |  -611.932233 | Accepted
 860 |  -611.931371 | Accepted
 861 |  -611.931830 | Accepted
 862 |  -611.933438 | Accepted
 864 |  -611.918808 | Accepted
 865 |  -611.930816 | Accepted
 866 |  -611.929931 | Accepted
 867 |  -611.931185 | Accepted
 868 |  -611.925127 | Accepted
 869 |  -611.932698 | Accepted
 870 |  -611.928436 | Accepted
 871 |  -611.931624 | Accepted
 873 |  -611.927697 | Accepted
 874 |  -611.930330 | Accepted
 875 |  -611.924903 | Accepted
 876 |  -611.925020 | Accepted
 877 |  -611.928288 | Accepted
 878 |  -611.926921 | Accepted
 879 |  -611.929151 | Accepted
 880 |  -611.933000 | Accepted
 882 |  -611.929396 | Accepted
 883 |  -611.927840 | Accepted
 885 |  -611.932368 | Accepted
 886 |  -611.929965 | Accepted
 887 |  -611.930554 | Accepted
 889 |  -611.931154 | Accepted
 890 |  -611.931467 | Accepted
 891 |  -611.929999 | Accepted
 892 |  -611.931145 | Accepted
 893 |  -611.931337 | Accepted
 894 |  -611.931217 | Accepted
 895 |  -611.931743 | Accepted
 896 |  -611.928251 | Accepted
 897 |  -611.930618 | Accepted
 898 |  -611.928936 | Accepted
 899 |  -611.930113 | Accepted
 902 |  -611.930467 | Accepted
 905 |  -611.931161 | Accepted
 906 |  -611.931105 | Accepted
 907 |  -611.926877 | Accepted
 908 |  -611.930638 | Accepted
 909 |  -611.928351 | Accepted
 910 |  -611.926536 | Accepted
 911 |  -611.932988 | Accepted
 913 |  -611.931875 | Accepted
 914 |  -611.923344 | Accepted
 915 |  -611.931923 | Accepted
 917 |  -611.933285 | Accepted
 918 |  -611.932042 | Accepted
 919 |  -611.921460 | Accepted
 920 |  -611.928915 | Accepted
 921 |  -611.927745 | Accepted
 922 |  -611.930837 | Accepted
 923 |  -611.929395 | Accepted
 924 |  -611.924123 | Accepted
 926 |  -611.927504 | Accepted
 927 |  -611.930764 | Accepted
 928 |  -611.933240 | Accepted
 929 |  -611.927496 | Accepted
 930 |  -611.931119 | Accepted
 931 |  -611.931421 | Accepted
 932 |  -611.924090 | Accepted
 933 |  -611.929709 | Accepted
 934 |  -611.930376 | Accepted
 935 |  -611.929866 | Accepted
 936 |  -611.933720 | Accepted
 937 |  -611.930708 | Accepted
 938 |  -611.933759 | Accepted
 939 |  -611.928163 | Accepted
 940 |  -611.930567 | Accepted
 941 |  -611.929325 | Accepted
 942 |  -611.928880 | Accepted
 943 |  -611.931477 | Accepted
 944 |  -611.930876 | Accepted
 945 |  -611.927771 | Accepted
 946 |  -611.928908 | Accepted
 947 |  -611.928920 | Accepted
 948 |  -611.931472 | Accepted
 949 |  -611.928875 | Accepted
 950 |  -611.928934 | Accepted
 951 |  -611.926755 | Accepted
 952 |  -611.932386 | Accepted
 954 |  -611.929128 | Accepted
 956 |  -611.924209 | Accepted
 957 |  -611.921926 | Accepted
 958 |  -611.932213 | Accepted
 961 |  -611.930461 | Accepted
 962 |  -611.929353 | Accepted
 964 |  -611.932412 | Accepted
 966 |  -611.928756 | Accepted
 967 |  -611.933926 | Accepted
 968 |  -611.931791 | Accepted
 969 |  -611.932141 | Accepted
 970 |  -611.926586 | Accepted
 971 |  -611.926892 | Accepted
 972 |  -611.924534 | Accepted
 973 |  -611.929127 | Accepted
 975 |  -611.932933 | Accepted
 978 |  -611.931262 | Accepted
 979 |  -611.931878 | Accepted
 980 |  -611.932967 | Accepted
 981 |  -611.935287 | Accepted
 982 |  -611.926210 | Accepted
 983 |  -611.935044 | Accepted
 984 |  -611.931664 | Accepted
 985 |  -611.933648 | Accepted
 986 |  -611.931525 | Accepted
 988 |  -611.929856 | Accepted
 989 |  -611.929978 | Accepted
 991 |  -611.927731 | Accepted
 992 |  -611.931030 | Accepted
 993 |  -611.933308 | Accepted
 995 |  -611.930396 | Accepted
 996 |  -611.932271 | Accepted
